"block_id","start","end","train_pos","test_pos","glm_threshold","glm_acc","glm_prec","glm_rec","glm_f1","glm_rocauc","glm_prauc","glmnet_acc","glmnet_prec","glmnet_rec","glmnet_f1","glmnet_rocauc","glmnet_prauc","glmnet_lambda","tree_acc","tree_prec","tree_rec","tree_f1","tree_rocauc","tree_prauc","rf_acc","rf_prec","rf_rec","rf_f1","rf_rocauc","rf_prauc"
2,101,200,24,8,0.608478260869565,0.87012987012987,0.416666666666667,0.625,0.5,0.717391304347825,0.344450615376424,0.584415584415584,0.166666666666667,0.75,0.272727272727273,0.717391304347825,0.344450615376424,0.000339408115907213,0.818181818181818,0.285714285714286,0.5,0.363636363636364,0.683876811594203,0.190471759300757,0.896103896103896,NA,0,NA,0.703804347826087,0.318695939914495
3,201,300,25,7,0.665220735785953,0.901098901098901,0.375,0.428571428571429,0.4,0.789965986394558,0.339858913336472,0.538461538461538,0.127659574468085,0.857142857142857,0.222222222222222,0.795068027210884,0.330937254262582,0.00675049479787731,0.582417582417582,0.121951219512195,0.714285714285714,0.208333333333333,0.614795918367347,0.0961524490776866,0.868131868131868,0.142857142857143,0.142857142857143,0.142857142857143,0.748299319727891,0.200723903044461
4,301,400,23,9,0.121160535117057,0.139784946236559,0.101123595505618,1,0.183673469387755,0.66005291005291,0.0699361417037342,0.53763440860215,0.0526315789473684,0.222222222222222,0.0851063829787234,0.646825396825397,0.0793485882204643,0.00240709612062574,0.602150537634409,0.0882352941176471,0.333333333333333,0.13953488372093,0.527116402116402,0.0938066354589027,0.870967741935484,0.2,0.111111111111111,0.142857142857143,0.599867724867725,0.105768856762567
5,401,500,24,8,0.381508361204013,0.472527472527473,0.1,0.625,0.172413793103448,0.432228915662651,0.0811120403182116,0.692307692307692,0.0833333333333333,0.25,0.125,0.564759036144578,0.0816788288954465,2.87495538195074e-05,0.747252747252747,0.0588235294117647,0.125,0.08,0.469879518072289,0.0800453432263426,0.912087912087912,NA,0,NA,0.651355421686747,0.0651047647032131
